stage,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,1,2.1764821191628774,15.208333333333334,1.9364555120468139,28.75,0.001
1,2,1.9573139369487762,24.895833333333332,1.822635324796041,28.75,0.001
1,3,1.8411177774270375,28.645833333333332,1.7262696186701456,38.333333333333336,0.001
1,4,1.7659286499023437,32.916666666666664,1.6912973721822102,35.416666666666664,0.001
1,5,1.736886856953303,36.458333333333336,1.6821785887082419,34.583333333333336,0.001
2,1,1.7554342846075695,35.3125,1.5885884881019592,38.75,0.0005
2,2,1.5134768138329189,44.479166666666664,1.7233009020487466,31.25,0.0005
2,3,1.3687924241026244,48.333333333333336,1.3904364864031473,45.833333333333336,0.0005
2,4,1.2545525540908178,53.333333333333336,1.4812886079152425,47.083333333333336,0.0005
2,5,1.141191304475069,57.5,1.4760047435760497,49.166666666666664,0.0005
2,6,1.084103270371755,58.645833333333336,1.4142130454381308,56.25,0.00025
2,7,0.9161940274139245,64.89583333333333,1.3462701757748923,57.083333333333336,0.00025
2,8,0.8538132083291808,68.75,1.351861850420634,60.833333333333336,0.00025
2,9,0.7475578599919875,72.39583333333333,1.2602600534756978,61.666666666666664,0.00025
2,10,0.7157359272241592,73.22916666666667,1.4102293531099954,57.916666666666664,0.00025
2,11,0.6572365334878365,75.83333333333333,1.4268918971220652,56.666666666666664,0.00025
2,12,0.642945122718811,75.52083333333333,1.6532658596833547,56.666666666666664,0.000125
2,13,0.5317210072030624,81.14583333333333,1.4023178478082021,59.166666666666664,0.000125
2,14,0.4686939944202701,83.33333333333333,1.445185649394989,60.416666666666664,0.000125
2,15,0.42388894031755625,83.85416666666667,1.4690423488616944,60.833333333333336,6.25e-05
